folder,doi,gist,incorporation
03_Graph_Neural_Networks,,"KGNN models drug-drug interactions by aggregating entity information from a pharmacological knowledge graph using graph attention. Achieved AUC 0.964 on DrugBank DDI dataset, outperforming previous methods.",Knowledge graph GNN citation for DDI prediction; supports the network pharmacology discussion.
03_Graph_Neural_Networks,10.1007/s10822-016-9938-8,One of the first papers to systematically replace hand-crafted fingerprints with graph convolutions; introduced weave layers that process both atom and bond features jointly — influencing subsequent D-MPNN and bond-based architectures.,Historical GNN citation preceding MPNN; use to trace lineage of molecular GNN development.
03_Graph_Neural_Networks,,"Introduces OGB (Open Graph Benchmark), including ogb-molhiv and ogb-molpcba — large-scale, standardized molecular graph benchmarks with rigorous scaffold splitting. Became the standard for GNN evaluation in molecular ML.",Cite for benchmark standardization discussion; supports arguments about reproducible GNN evaluation.
03_Graph_Neural_Networks,10.1016/j.ddtec.2020.11.009,"Comprehensive review of GNN architectures for molecular property prediction; covers graph convolutions, attention, directed messages, and 3D-aware GNNs; provides practical guidance on architecture selection.",Use as a review citation for GNN overview; complements primary research papers.
04_Generative_AI_Molecular_Design,10.1021/acscentsci.7b00572,First paper to apply VAE to SMILES for continuous molecular optimization; demonstrated Bayesian optimization in latent space to navigate toward desired drug-like properties. Created the paradigm for all subsequent latent space molecular design.,Foundational generative AI citation; cite as origin of continuous molecular latent space optimization.
04_Generative_AI_Molecular_Design,,JT-VAE decomposes molecules into scaffolds and side chains (junction trees) rather than SMILES; achieves 97.2% reconstruction accuracy and enables scaffold-constrained optimization. Significantly outperformed SMILES-VAE in molecular validity.,Cite for VAE subsection; JT-VAE is the primary benchmark for graph-based VAE performance.
04_Generative_AI_Molecular_Design,10.48550/arXiv.1805.11973,Combines GAN with graph convolutions and RL reward signal to directly generate molecular adjacency/feature matrices. Generates valid molecules in milliseconds; optimizes for drug-likeness (QED) and other properties simultaneously.,Cite for GAN molecular design; use MolGAN as the representative graph-based GAN example.
04_Generative_AI_Molecular_Design,10.1186/s13321-017-0235-x,"REINVENT — uses LSTM as agent to generate SMILES; policy gradient RL trains the agent to maximize a composite reward (bioactivity, ADMET, novelty). Became the industry-standard generative framework at AstraZeneca and beyond.",Primary RL-based generative model citation; cite alongside REINVENT 2.0 for multi-objective drug design.
04_Generative_AI_Molecular_Design,10.48550/arXiv.2210.01776,"Reframes molecular docking as generative modeling over ligand poses via diffusion; achieves 38% top-1 success rate on PoseBusters blind docking benchmark vs. 20% for Glide. Combines translation, rotation, and torsion diffusion.",Cite as seminal diffusion model application to drug discovery; use for both docking and generative design sections.
04_Generative_AI_Molecular_Design,,EDM — equivariant diffusion model for 3D molecular generation that respects rotational/translational symmetry (SE(3) equivariance). Generates realistic 3D molecular structures with correct geometry without post-processing.,Cite for 3D generative models; supports pocket-conditioned design discussion.
04_Generative_AI_Molecular_Design,10.1021/acs.jcim.0c00915,"REINVENT 2.0 update with scaffold decoration mode, linker design, and improved transfer learning integration; widely deployed in pharmaceutical industry lead optimization campaigns.",Cite for industry application of generative RL; supports industry deployment narrative.
04_Generative_AI_Molecular_Design,,First 3D-aware generative model conditioned directly on protein binding pockets; autoregressively places atoms in 3D space guided by protein pocket geometry and interactions. Precursor to TargetDiff and DiffSBDD.,Cite for structure-based generative design; historical bridge to diffusion-based pocket-conditioned models.
05_NLP_Biomedical_Text_Mining,10.1093/bioinformatics/btz682,"Fine-tuned BERT on PubMed abstracts + PMC full texts (18.5B tokens); outperformed general BERT on 6 biomedical NLP benchmarks including NER, RE, and QA. First domain-adapted BERT for biomedical text.",Primary BioBERT citation for NLP section; foundational reference for biomedical language models.
05_NLP_Biomedical_Text_Mining,10.1145/3458754,PubMedBERT — pre-trained from scratch on PubMed only (vs fine-tuning general models); outperformed BioBERT on 9/11 BLURB benchmarks. Shows domain vocabulary mismatch degrades performance; pure domain pretraining is superior.,Cite alongside BioBERT; use to support argument for domain-specific pretraining strategy.
05_NLP_Biomedical_Text_Mining,10.18653/v1/D19-1371,"Pre-trained on 1.14M Semantic Scholar papers (18% biomedical, 82% CS); uses scientific vocabulary (scivocab). Achieves SOTA on multiple scientific NLP tasks; useful for interdisciplinary drug discovery papers.",Cite for scientific NLP; useful when discussing cross-disciplinary literature mining (chemistry + biology).
05_NLP_Biomedical_Text_Mining,10.1093/bib/bbac409,"Domain-specific GPT-2 trained on PubMed literature; achieves SOTA on biomedical NLP tasks including RE, QA, and text generation; outperforms BioBERT on relation extraction and generates coherent biomedical text.",Cite for generative biomedical NLP; supports drug discovery knowledge synthesis applications.
05_NLP_Biomedical_Text_Mining,10.48550/arXiv.2010.09885,Applies RoBERTa pretraining to SMILES strings; learns molecular representations from 10M PubChem SMILES without property labels. Achieves competitive performance on MoleculeNet benchmarks using pure SMILES language modeling.,Cite for molecular language models section; bridges NLP and cheminformatics approaches.
05_NLP_Biomedical_Text_Mining,,Original BERT paper — masked language modeling + next sentence prediction pretraining on BooksCorpus + Wikipedia. Established the transfer learning paradigm for NLP that all biomedical BERT variants build upon.,Foundational citation — always cite before any BERT variant; provides theoretical grounding.
05_NLP_Biomedical_Text_Mining,10.18653/v1/W19-5006,"Systematic evaluation of BERT and ELMo transfer learning across 10 biomedical NLP tasks; demonstrated consistent superiority of BERT over ELMo and task-specific models, motivating adoption of BERT-family models in drug discovery NLP.",Cite for transfer learning evaluation context; supports choice of BERT over earlier NLP approaches.
05_NLP_Biomedical_Text_Mining,10.1093/nar/gkx1037,"Comprehensive drug-target-interaction database with structured data on 14,000+ drugs, 5,000+ protein targets, ADMET data, pharmacogenomics, and drug-drug interactions. Primary resource for NLP-based knowledge graph construction and DTI model training.",Cite as data source for knowledge graph construction; foundational resource for drug-target NLP pipelines.
06_Multi_Omics_Integration,10.15252/msb.20178124,MOFA — decomposes multi-omics datasets into interpretable latent factors using a Bayesian group factor analysis framework. Identifies coordinated variation across omics layers; applied to chronic lymphocytic leukemia multi-omics revealing drug resistance factors.,Primary multi-omics integration citation; cite MOFA as the go-to linear baseline for multi-omics factor analysis.
06_Multi_Omics_Integration,10.1038/s41592-018-0229-2,"scVI — VAE-based probabilistic model for single-cell RNA-seq that handles batch effects, missing data, and zero inflation simultaneously. Enables clustering, differential expression, and cross-dataset integration at scale.",Cite for single-cell transcriptomics AI methods; relevant to neuron-type-specific analysis in AD/PD.
06_Multi_Omics_Integration,10.1016/j.cell.2017.10.049,"LINCS L1000 — profiles transcriptional responses to 30,000+ chemical/genetic perturbations across cell lines. Enables signature-based drug repurposing by matching drug-induced gene expression changes to disease signatures.",Key citation for transcriptomic-based drug repurposing; cite when discussing CMap/LINCS approaches.
06_Multi_Omics_Integration,10.1038/s41586-019-1195-2,"First large-scale scRNA-seq study of AD human brain; identified disease-associated microglia (DAM), oligodendrocyte, and astrocyte subtypes. Revealed cell-type-specific transcriptional changes preceding clinical symptoms.",Use as landmark scRNA-seq AD study; supports cell-type-specific target identification discussion.
06_Multi_Omics_Integration,10.1016/j.csbj.2021.06.030,"Reviews early, intermediate, and late integration strategies for multi-omics ML; evaluates concatenation, kernel fusion, graph fusion, and autoencoder approaches; provides practical recommendations for dataset size and modality combinations.",Review citation for multi-omics integration strategy discussion; use to justify chosen integration approach.
06_Multi_Omics_Integration,10.1038/s41588-022-01024-z,"Integrates GWAS, eQTL, scRNA-seq, and protein interaction data to define a core neuroinflammation network in AD; identifies INPP5D, BIN1, and PTK2B as network hubs with strong genetic and cellular evidence for druggability.",Exemplar of multi-omics-to-target workflow in neurodegeneration; cite as case study in Section 9.
06_Multi_Omics_Integration,10.1038/ng.167,"Early landmark paper integrating genotypic, transcriptomic, and proteomic data to reconstruct regulatory networks; introduced the concept of multi-omics network integration that underpins modern systems pharmacology.",Historical citation for multi-omics network integration; provides conceptual foundation for modern AI multi-omics approaches.
06_Multi_Omics_Integration,10.1093/bioinformatics/bth294,Introduced kernel-based data fusion for combining heterogeneous genomic data types; foundational computational framework for multi-omics integration predating deep learning approaches.,Historical methods citation; demonstrates evolution from kernel fusion to deep multi-modal integration.
07_Target_Identification_Validation,10.1038/nrg2918,Established the network medicine framework — diseases cluster in specific modules of the human interactome; drug targets should reside within the same module as disease genes. Foundation for all network-based target identification and drug repurposing.,Foundational network medicine citation; cite at the start of Target Identification section.
07_Target_Identification_Validation,10.1038/s41467-019-09186-x,Network proximity metric predicts synergistic drug combinations; drugs whose targets are proximal in the interactome but target non-overlapping modules show highest synergy. Validated against clinical data and cancer cell line responses.,Cite for drug combination network pharmacology; supports multi-target drug design discussion.
07_Target_Identification_Validation,10.1126/science.1257601,"Mapped 299 diseases onto the human interactome; diseases with overlapping network modules share genetic, comorbidity, and drug response patterns. Provides mechanistic basis for disease-disease crosstalk relevant to multi-morbidity in neurodegeneration.",Cite for network medicine context; supports crosstalk between neurodegeneration and comorbid diseases.
07_Target_Identification_Validation,10.1038/nbt1338,First systematic analysis of the drug-target network topology; showed approved drugs cluster in the network periphery; multi-target drugs hit network hubs. Established druggability landscape concept.,Historical citation for drug-target network analysis; establishes topological framework for target ID discussion.
07_Target_Identification_Validation,10.1038/nchembio.118,"Coined ""network pharmacology"" — argues that systems-level multi-target drug design is superior to single-target paradigm; proposes designing molecules that modulate multiple nodes in disease networks simultaneously.",Cite when introducing network pharmacology concept; foundational philosophical shift toward polypharmacology.
07_Target_Identification_Validation,10.1038/s43587-022-00335-0,Used network proximity of sildenafil's targets to AD disease genes to predict repurposing potential; insurance claims analysis of 1.2M men showed 69% reduced AD incidence in sildenafil users vs matched controls.,Premier AI drug repurposing case study for neurodegeneration; cite as validation of network medicine-guided repurposing.
07_Target_Identification_Validation,10.1093/nar/gkh061,"UMLS — 4M+ concepts from 200+ biomedical vocabularies mapped to common semantic framework. Underpins all biomedical knowledge graph construction, NLP entity normalization, and ontology-based target identification.",Cite as foundational biomedical ontology resource for knowledge graph construction pipelines.
07_Target_Identification_Validation,10.1038/s41467-021-27138-2,"NeDRex — open platform integrating 10 biomedical databases into a unified network; provides network-based disease module identification, drug repurposing, and target prioritization tools. Applied to COVID-19 and neurodegeneration repurposing.",Cite as practical network medicine platform; supports tool-centric discussion in target identification.
08_ADMET_Prediction,10.1021/ci034243x,"ESOL — simple linear regression model predicting aqueous solubility from 4 molecular descriptors (MW, logP, rotatable bonds, aromatic proportion). Still widely used as a baseline; demonstrates that simple ML can achieve meaningful predictive accuracy on ADMET properties.",Classic ADMET prediction citation; use to anchor historical discussion of property prediction.
08_ADMET_Prediction,10.1038/nchem.1243,"QED (Quantitative Estimate of Drug-likeness) — aggregates 8 molecular properties (MW, logP, HBD, HBA, PSA, rotatable bonds, aromaticity, alerts) into a single drug-likeness score from 0 to 1. Standard metric for generative model output evaluation.",Cite for drug-likeness metric; QED is the universal evaluation metric for generative molecular design outputs.
08_ADMET_Prediction,10.1186/1758-2946-1-8,SA (Synthetic Accessibility) Score — fragment frequency-based scoring of synthetic complexity on 1-10 scale. Widely used alongside QED to penalize generative model outputs that are chemically unrealizable.,Cite for synthetic feasibility assessment; essential reference for generative model evaluation metrics.
08_ADMET_Prediction,10.1038/srep42717,"SwissADME — freely accessible ADMET prediction platform covering lipophilicity, solubility, pharmacokinetics, BBB permeability, and 5 drug-likeness rules. One of the most heavily used ADMET screening tools by medicinal chemists globally.",Cite as practical ADMET screening tool; supports CNS drug design discussion.
08_ADMET_Prediction,10.1093/bioinformatics/btae416,ADMET-AI — Chemprop-based multitask ADMET platform predicting 41 properties; achieves best-in-class accuracy; deployed as open web server and Python package; supports virtual screening of billion-scale compound libraries.,Cite as current state-of-the-art ADMET tool; use to illustrate scalability of deep learning ADMET pipelines.
08_ADMET_Prediction,10.1007/s10822-011-9478-1,SVM model for BBB permeability classification using 29 molecular descriptors; among the first ML-based BBB prediction models. Highlights the challenge of BBB modeling for CNS drug design.,Cite for CNS/BBB prediction challenge; use in neurodegeneration context to motivate specialized CNS ADMET models.
08_ADMET_Prediction,,Discusses integrated nuclear-cytoplasmic signaling relevant to CNS drug mechanisms; contextualizes receptor pharmacology important for CNS drug design challenges.,Background citation for CNS signaling complexity; supports discussion of BBB and CNS pharmacodynamics.
08_ADMET_Prediction,10.1016/S0169-409X(00)00129-0,"Rule of Five (Ro5) — seminal paper establishing MW≤500, logP≤5, HBD≤5, HBA≤10 as oral bioavailability filters. The most cited paper in drug discovery; foundational filter underlying all ADMET screening pipelines.",Must-cite foundational ADMET paper; cite when introducing drug-likeness and oral bioavailability concepts.
09_Protein_Structure_Prediction,10.1038/s41586-021-03819-2,AlphaFold2 achieved median Cα RMSD 0.96Å on CASP14 — essentially experimental accuracy for most proteins. Evoformer Transformer + structure module predicts 3D coordinates directly. Released 200M+ structures publicly.,Central citation for protein structure AI; arguably the most impactful single AI paper in biology; cite in deep learning and target identification sections.
09_Protein_Structure_Prediction,10.1126/science.abj8754,"RoseTTAFold — three-track attention architecture processing 1D sequence, 2D distance map, and 3D coordinates simultaneously; accurate and faster than AlphaFold2; open-source with active community development.",Cite alongside AlphaFold2 as complementary open-source structure prediction tool.
09_Protein_Structure_Prediction,10.1126/science.ade2574,"ESM-2 + ESMFold — 15B parameter protein language model predicts structure directly from sequence without MSA; 60× faster than AlphaFold2. Enables proteome-scale screening of IDPs (intrinsically disordered proteins) relevant to neurodegeneration (tau, alpha-synuclein).",Cite for MSA-free protein LM; particularly relevant for disordered neurodegenerative proteins where AlphaFold2 is less reliable.
09_Protein_Structure_Prediction,10.1073/pnas.2016239118,ESM-1b — trained on 250M protein sequences; learned structural and functional information from sequence alone. Demonstrated that evolutionary information emerges from large-scale language model training without explicit structural supervision.,Cite for protein language model pretraining; supports the discussion of self-supervised learning in biology.
09_Protein_Structure_Prediction,10.1038/s41586-023-06415-8,"RFdiffusion — applies diffusion models to protein backbone generation; creates entirely new proteins with specified function (binders, enzymes, symmetry); experimental validation of novel designs shows >50% success rate.",Cite for protein generative design; parallel to small molecule diffusion models; demonstrates breadth of generative AI in drug discovery.
09_Protein_Structure_Prediction,10.1111/cbdd.12055,Reviews peptide drugs as therapeutic class; discusses BBB penetration challenges; cyclic peptides and stapled peptides as solutions for CNS targeting. Contextualizes structural biology applications in CNS drug design.,Background for peptide-based approaches in neurodegeneration; complements structure-based design discussion.
09_Protein_Structure_Prediction,10.1093/nar/gkab1061,Describes AlphaFold DB — >200M predicted structures covering UniProt; freely accessible via API; enables computational docking and drug design for virtually any protein without experimental structure.,Cite alongside AlphaFold2 paper for database resource; supports discussion of undruggable target accessibility.
09_Protein_Structure_Prediction,10.1038/s41586-019-1923-7,AlphaFold1 — predecessor that first demonstrated deep learning potentials could substantially improve protein structure prediction; established the ML-structure prediction paradigm that culminated in AlphaFold2.,Historical citation for AlphaFold evolution; cite to narrate the progression from AlphaFold1 to AlphaFold2.
10_Neurodegeneration_AI,10.1186/s13195-021-00806-5,"AlzGPS integrates GWAS, transcriptomics, proteomics, and drug-target interaction data into a genome-wide positioning system for AD target discovery; identifies 103 druggable genes with significant multi-omics evidence.",Disease-specific platform citation; use as example of integrated AI platform for AD target identification.
10_Neurodegeneration_AI,10.1038/s43587-023-00379-2,Expanded sildenafil AD analysis; used endophenotype network proximity + large-scale EHR data; identified additional PDE5 inhibitors with AD protective signals. Demonstrates AI-to-EHR validation pipeline.,Extended repurposing case study; cite in both target identification and drug repurposing sections.
10_Neurodegeneration_AI,10.3233/JAD-160374,"Proposes precision medicine framework for AD using AI to stratify patients by molecular subtype (amyloid, tau, neuroinflammation); advocates for biomarker-driven clinical trial design.",Cite for precision medicine / patient stratification context in neurodegeneration.
10_Neurodegeneration_AI,10.1109/TCBB.2019.2897366,"Multi-modal deep learning fusion of genomics, transcriptomics, and clinical data for prognosis; methods directly applicable to neurodegenerative disease subtype classification and survival modeling.",Cross-disease methodology citation applicable to neurodegeneration multi-omics.
10_Neurodegeneration_AI,10.1001/jama.2018.11100,"Expert perspective on DL transforming radiology, pathology, and genomic medicine; discusses regulatory and validation challenges; highly cited clinical AI perspective.",Clinical AI perspective citation; bridges computational methods to clinical deployment in neurodegeneration.
10_Neurodegeneration_AI,10.1016/S1474-4422(19)30320-5,"Largest PD GWAS to date; identified 90 independent risk variants; provided genetic evidence for LRRK2, GBA, SNCA, and lysosomal pathway genes as primary PD targets. Foundation for AI-driven PD target prioritization.",Primary PD genetics citation; cite as genetic evidence base for AI target ID in PD.
10_Neurodegeneration_AI,10.1038/ng.2802,"Large IGAP GWAS for AD; identified BIN1, CLU, PICALM, CR1 among 11 new loci beyond APOE; generated the genetic target space that AI prioritization tools are trained and validated on.",Primary AD genetics citation for GWAS-to-target workflows; cite in target identification section.
10_Neurodegeneration_AI,10.1038/s41588-019-0358-2,"IGAP2 meta-GWAS; identified 5 new AD loci (IQCK, ACE, ADAM10, ADAMTS1, WWOX); implicated lipid processing, innate immunity, and synaptic function; provided multi-ancestry genetic evidence for network-based target discovery.",Cite alongside Lambert 2013 for comprehensive AD genetic landscape.
11_Federated_Learning_XAI,,Foundational FL paper — introduces FedAvg algorithm; demonstrates local gradient computation + global aggregation can train competitive models without data sharing. Defines the FL paradigm that MELLODDY and clinical FL build upon.,Must-cite foundational FL reference; cite at the start of the federated learning section.
11_Federated_Learning_XAI,10.1038/s41746-020-00323-1,"Reviews FL applications in clinical imaging, EHR, and genomics; discusses challenges of non-IID data, communication costs, and Byzantine robustness; advocates for FL as the default architecture for multi-center clinical ML.",Cite for clinical FL application review; bridges FL methodology to healthcare deployment.
11_Federated_Learning_XAI,,"SHAP — unifies LIME, DeepLIFT, and LASSO into a single game-theoretic attribution framework using Shapley values. TreeSHAP is exact and fast for tree-based models; DeepSHAP approximates for DNNs. Most widely used XAI method.",Primary XAI citation; cite whenever discussing feature attribution in molecular property prediction.
11_Federated_Learning_XAI,10.1145/2939672.2939778,LIME — perturbs input to generate locally linear explanations of any black-box model; widely applied to molecular and clinical ML; interpretable but computationally expensive for large feature spaces.,Cite alongside SHAP for local explanation methods; provides alternative perspective on model-agnostic XAI.
11_Federated_Learning_XAI,10.1038/s42256-020-00236-4,"Comprehensive review of XAI in drug discovery — covers saliency maps, attention weights, SHAP, LIME, and concept-based explanations; evaluates fidelity and stability of different XAI methods; provides a framework for regulatory-grade model transparency.",Primary XAI drug discovery review; cite as comprehensive reference for the XAI subsection.
11_Federated_Learning_XAI,10.1109/ICCV.2017.74,Grad-CAM uses gradients of the target class flowing into the final convolutional layer to produce coarse localization heat maps. Applied to protein structure images and phenotypic screening images to identify pharmacologically relevant regions.,Cite for image-based XAI; relevant to CNN applications in cryo-EM and cell painting workflows.
11_Federated_Learning_XAI,10.1038/s41586-021-03583-3,"Swarm learning — blockchain-secured FL without central server; applied to leukemia, COVID, and tuberculosis diagnosis from blood transcriptomics; each node contributes equally; distributed governance model for clinical ML.","Cite for advanced FL architecture; supports discussion of decentralized, privacy-first clinical AI."
11_Federated_Learning_XAI,10.48550/arXiv.1702.08608,"Proposes a formal taxonomy of interpretability and evaluation metrics; distinguishes application-grounded, human-grounded, and functionally-grounded evaluation; foundational framework for rigorous XAI assessment.",Theoretical XAI citation; cite when discussing criteria for regulatory-grade model interpretability.
12_Drug_Repurposing_Computational,10.1038/nrd.2018.168,"Definitive review of computational and experimental drug repurposing; covers serendipitous, hypothesis-driven, and computational approaches; discusses validation frameworks and regulatory fast-track pathways for repurposed drugs.",Primary drug repurposing review citation; cite at the start of the repurposing discussion.
12_Drug_Repurposing_Computational,10.1016/S2589-7500(20)30192-8,"Reviews AI approaches to COVID-19 repurposing including network medicine, deep learning, and NLP; identifies dexamethasone, baricitinib, and remdesivir predictions validated in clinical trials. Demonstrates rapid AI-to-clinic pipeline.",Cite for AI repurposing validation success; COVID-19 provides proof-of-principle for neurodegeneration repurposing timelines.
12_Drug_Repurposing_Computational,10.1038/msb.2011.26,"PREDICT — combines drug-drug, disease-disease, and drug-disease similarity networks for indication prediction; 50% precision on novel indications; applied to rare diseases and personalized medicine. Foundational computational repurposing method.",Historical computational repurposing citation; cite alongside more recent deep learning methods.
12_Drug_Repurposing_Computational,10.1073/pnas.2025581118,"Network proximity analysis of 6,340 drugs across COVID-19 disease modules; identified 81 repurposing candidates; top predictions including dexamethasone subsequently validated in RECOVERY trial.",Cite as validation of network medicine repurposing; supports network proximity methodology.
12_Drug_Repurposing_Computational,10.1038/s41467-019-09799-2,DREAM drug combination challenge; 160 teams benchmarked 20+ computational methods; matrix factorization and deep learning outperformed classical approaches; ensemble models were most robust for drug synergy prediction.,Cite for drug combination AI benchmark; supports synergy prediction discussion.
12_Drug_Repurposing_Computational,10.1093/bib/bbab368,"Deep learning DDI framework integrating molecular graphs, protein targets, and pathway information; outperforms prior methods on 86,000+ DDI pairs; applicable to combination therapy design in neurodegeneration.",Cite for deep learning DDI prediction; relevant to combination therapy design for multifactorial neurodegeneration.
12_Drug_Repurposing_Computational,10.1073/pnas.1000138107,Uses transcriptional drug response profiles (CMAP) clustered by similarity to infer drug MOA groups and identify repositioning candidates; discovered antiproliferative activity of known non-cancer drugs.,CMap-based repurposing methodology citation; precedes LINCS L1000 and contextualizes transcriptomic repurposing.
12_Drug_Repurposing_Computational,10.1038/s41467-018-05116-5,Integrates network proximity with large-scale insurance claims (EHR) validation; 287 repurposing predictions validated against clinical outcome data; demonstrates population-level evidence pipeline for computational repurposing.,Cite for EHR-validated repurposing; supports the real-world evidence dimension of AI drug repurposing validation.
